User_Id,Place_Id,Place_Ratings,City_Encoded,Category_Encoded,Clipped_Price,Normalized_Price
1,179,3,4,1,50000,1.0
1,344,2,2,0,3000,0.06
1,5,5,1,4,50000,1.0
1,373,3,2,1,10000,0.2
1,101,4,4,1,0,0.0
1,312,2,0,2,11000,0.22
1,258,5,0,1,5000,0.1
1,20,4,1,1,2000,0.04
1,154,2,4,0,10000,0.2
1,393,5,3,2,0,0.0
1,103,3,4,4,0,0.0
1,208,5,4,2,10000,0.2
1,89,3,4,1,50000,1.0
1,405,5,3,4,50000,1.0
1,41,5,1,1,2000,0.04
1,336,4,2,4,15000,0.3
1,67,4,1,2,25000,0.5
1,292,3,0,2,0,0.0
1,222,3,0,1,0,0.0
1,76,2,1,4,20000,0.4
1,428,3,3,1,0,0.0
1,15,3,1,3,0,0.0
1,246,4,0,2,10000,0.2
1,265,5,0,1,0,0.0
1,21,2,1,1,5000,0.1
1,328,2,0,2,10000,0.2
1,307,4,0,2,5000,0.1
1,302,2,0,5,0,0.0
1,48,2,1,1,5000,0.1
1,328,2,0,2,10000,0.2
2,147,2,4,1,0,0.0
2,2,5,1,1,0,0.0
2,322,4,0,2,0,0.0
2,23,3,1,5,0,0.0
2,85,4,4,4,6000,0.12
2,371,3,2,2,25000,0.5
2,78,5,1,4,1000,0.02
2,111,2,4,4,3000,0.06
2,107,2,4,1,5000,0.1
2,185,2,4,0,10000,0.2
2,413,3,3,1,2000,0.04
2,389,2,2,2,0,0.0
2,437,5,3,5,10000,0.2
2,105,2,4,1,0,0.0
2,176,3,4,1,10000,0.2
2,407,5,3,4,0,0.0
2,208,5,4,2,10000,0.2
2,437,4,3,5,10000,0.2
2,208,3,4,2,10000,0.2
2,281,2,0,4,50000,1.0
2,167,2,4,2,0,0.0
2,384,5,2,1,0,0.0
2,426,4,3,1,0,0.0
2,390,2,2,2,5000,0.1
2,367,2,2,2,7000,0.14
2,166,2,4,2,6000,0.12
2,18,5,1,1,2000,0.04
2,321,3,0,4,30000,0.6
2,262,3,0,2,50000,1.0
3,223,5,0,5,0,0.0
3,17,5,1,1,5000,0.1
3,319,5,0,2,5000,0.1
3,310,3,0,2,0,0.0
3,421,3,3,1,10000,0.2
3,202,5,4,0,10000,0.2
3,48,2,1,1,5000,0.1
3,283,3,0,4,0,0.0
3,202,3,4,0,10000,0.2
3,250,2,0,4,50000,1.0
3,118,2,4,1,5000,0.1
3,54,2,1,4,0,0.0
3,70,3,1,1,0,0.0
3,33,4,1,4,0,0.0
3,227,2,0,4,0,0.0
3,86,4,4,1,15000,0.3
3,105,5,4,1,0,0.0
3,249,3,0,4,50000,1.0
3,131,4,4,2,5000,0.1
3,382,2,2,4,50000,1.0
3,193,2,4,1,50000,1.0
3,176,2,4,1,10000,0.2
3,104,3,4,1,20000,0.4
3,24,4,1,1,5000,0.1
3,128,5,4,4,0,0.0
3,134,3,4,4,10000,0.2
3,228,3,0,1,3000,0.06
3,237,3,0,4,50000,1.0
3,100,4,4,1,0,0.0
3,198,5,4,0,5000,0.1
4,50,2,1,1,2000,0.04
4,376,2,2,1,30000,0.6
4,268,4,0,4,50000,1.0
4,242,4,0,2,12000,0.24
